evidence_id,theme,dimension,chain,evidence_group,indicator,period_date,published_at,raw_value,raw_unit,yoy_pct,source_type,reliability,half_life_days,source,notes
tsmc_2026_08_revenue,AI Infrastructure,financial_confirmation,Foundry,tsmc_monthly_revenue_2026_08,TSMC monthly revenue,2026-08-31,2026-09-10,514806,TWD million,53.3,company_actual,0.95,120,https://investor.tsmc.com/english/monthly-revenue/2026,Official monthly revenue; lagging confirmation
moea_2026_07_info_comm_orders,AI Infrastructure,orders_backlog,Networking,moea_info_comm_orders_2026_07,Taiwan information/communication export orders,2026-07-31,2026-08-20T16:00:00+08:00,33269,USD million,89.54,government_statistic,0.98,90,https://service.moea.gov.tw/EE521/visualize/VisDashboard.aspx?d=15,Official export-order statistic
moea_2026_07_electronics_orders,AI Infrastructure,orders_backlog,Compute,moea_electronics_orders_2026_07,Taiwan electronics export orders,2026-07-31,2026-08-20T16:00:00+08:00,41319,USD million,71.73,government_statistic,0.98,90,https://service.moea.gov.tw/EE521/visualize/VisDashboard.aspx?d=15,Official export-order statistic
