company,ticker,period,revenue,gross_profit,operating_income,pre_tax_income,net_income,eps,total_assets,total_liabilities,total_equity,book_value_per_share,source_date,source
台積電,2330.TW,114Q4,3809054272.0,2281293979.0,1936091677.0,2041662840.0,1715396780.0,66.26,7933023878.0,2472228595.0,5460795283.0,208.99,1150318,TWSE/MOPS official open data
聯發科,2454.TW,114Q4,595965682.0,283079941.0,103469695.0,124887801.0,106117575.0,66.16,743784805.0,334589784.0,409195021.0,250.98,1150318,TWSE/MOPS official open data
欣興,3037.TW,114Q4,131240882.0,18292258.0,6674372.0,8827291.0,7550490.0,4.38,255791612.0,148784535.0,107007077.0,65.16,1150318,TWSE/MOPS official open data
景碩,3189.TW,114Q4,39351096.0,8314409.0,2669813.0,3087205.0,2717328.0,3.51,79973280.0,38600083.0,41373197.0,71.66,1150318,TWSE/MOPS official open data
日月光投控,3711.TW,114Q4,645387710.0,114192874.0,50755533.0,51300829.0,41840536.0,9.37,889333354.0,515965721.0,373367633.0,79.29,1150318,TWSE/MOPS official open data
南電,8046.TW,114Q4,40172990.0,3647052.0,1982415.0,2345514.0,1946775.0,3.01,61207398.0,15084504.0,46122894.0,71.38,1150318,TWSE/MOPS official open data
