source_id,evidence_id,theme,dimension,chain,evidence_group,indicator,period_date,published_at,raw_value,raw_unit,change_pct,transform_type,source_type,reliability,half_life_days,source,notes
tpca_pcb_revenue,tpca_2026_06_pcb_revenue,AI Infrastructure,physical_throughput,Networking,tpca_pcb_revenue_2026_06,Taiwan listed PCB revenue YoY,2026-06-30,2026-07-15T00:00:00+08:00,32.08,percent,32.08,pct_yoy,industry_association,0.85,90,https://www.tpca.org.tw/web/view_newsletter.php?ter_no=20,TPCA newsletter
tpca_pcb_material,tpca_2026_06_material_revenue,AI Infrastructure,physical_throughput,CCL,tpca_material_revenue_2026_06,Taiwan listed PCB material revenue YoY,2026-06-30,2026-07-22T00:00:00+08:00,45.3,percent,45.3,pct_yoy,industry_association,0.85,90,https://www.tpca.org.tw/web/view_newsletter.php?ter_no=21,TPCA newsletter
tpca_ccl_import,tpca_2026_06_ccl_import,AI Infrastructure,market_tightness,CCL,tpca_ccl_import_2026_06,Taiwan CCL import YoY,2026-06-30,2026-07-22T00:00:00+08:00,65.3,percent,65.3,pct_yoy,industry_association,0.82,75,https://www.tpca.org.tw/web/view_newsletter.php?ter_no=21,TPCA newsletter
tpca_ccl_export,tpca_2026_06_ccl_export,AI Infrastructure,physical_throughput,CCL,tpca_ccl_export_2026_06,Taiwan CCL export YoY,2026-06-30,2026-07-22T00:00:00+08:00,27.4,percent,27.4,pct_yoy,industry_association,0.82,90,https://www.tpca.org.tw/web/view_newsletter.php?ter_no=21,TPCA newsletter
trendforce_dram_contract,tf_2026_07_ddr5_contract,AI Infrastructure,market_tightness,Memory,tf_ddr5_contract_2026_07,DDR5 8GB SO-DIMM contract average change,2026-07-31,2026-07-31T15:00:00+08:00,13.04,percent,13.04,pct_change_ref20,industry_research_public,0.75,60,https://www.trendforce.com/price/dram/dram_contract,Public contract price table
trendforce_dram_contract,tf_2026_07_ddr4_contract,AI Infrastructure,market_tightness,Memory,tf_ddr4_contract_2026_07,DDR4 16GB SO-DIMM contract average change,2026-07-31,2026-07-31T15:00:00+08:00,16.74,percent,16.74,pct_change_ref20,industry_research_public,0.75,60,https://www.trendforce.com/price/dram/dram_contract,Public contract price table
trendforce_dram_spot,tf_2026_09_21_ddr5_spot,AI Infrastructure,market_tightness,Memory,tf_ddr5_spot_2026_09_21,DDR5 16Gb spot session change,2026-09-21,2026-09-21T11:00:00+08:00,0.75,percent,0.75,pct_change_ref5,industry_research_public,0.65,14,https://www.trendforce.com/price/dram/dram_contract,Public spot price table
