company,ticker,period,monthly_revenue,previous_month_revenue,last_year_monthly_revenue,mom_pct,yoy_pct,ytd_revenue,last_year_ytd_revenue,ytd_yoy_pct,source_date,source
台積電,2330.TW,11502,317656613,401255128,260008796,-20.834254609202155,22.171487229224358,718911741,553296834,29.932379298595443,1150317,TWSE/MOPS official open data
聯發科,2454.TW,11502,38954271,46977055,46171723,-17.078090569960164,-15.631757991790776,85931326,97316011,-11.698676181866928,1150317,TWSE/MOPS official open data
欣興,3037.TW,11502,11600477,12766959,9985276,-9.136725511533326,16.175827288098997,24367436,19479147,25.094984908733423,1150317,TWSE/MOPS official open data
景碩,3189.TW,11502,3204487,3961154,2913173,-19.10218587815571,9.99988672145458,7165641,5469703,31.00603451412261,1150317,TWSE/MOPS official open data
日月光投控,3711.TW,11502,52096847,59988631,44960788,-13.155466074896758,15.871739169696047,112085478,94405049,18.728266323975955,1150317,TWSE/MOPS official open data
南電,8046.TW,11502,3166126,3720425,2805847,-14.898808603855745,12.840293857790536,6886551,5371972,28.194097065286268,1150317,TWSE/MOPS official open data
