company,ticker,period,period_date,published_at,monthly_revenue,yoy_pct,source,source_url,knowledge_time_method,transport
欣興,3037.TW,2024-01,2024-01-31T00:00:00+08:00,2024-02-10T23:59:59+08:00,9222048.0,-6.189325881957652,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-01,2024-01-31T00:00:00+08:00,2024-02-10T23:59:59+08:00,2313032.0,8.972203285704383,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-01,2024-01-31T00:00:00+08:00,2024-02-10T23:59:59+08:00,2561593.0,-37.6088152632793,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-02,2024-02-29T00:00:00+08:00,2024-03-10T23:59:59+08:00,8279814.0,2.576372488448442,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-02,2024-02-29T00:00:00+08:00,2024-03-10T23:59:59+08:00,2238258.0,6.088684277506995,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-02,2024-02-29T00:00:00+08:00,2024-03-10T23:59:59+08:00,1872631.0,-54.43149202393973,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-03,2024-03-31T00:00:00+08:00,2024-04-10T23:59:59+08:00,8900957.0,2.736573427283706,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-03,2024-03-31T00:00:00+08:00,2024-04-10T23:59:59+08:00,2443094.0,-6.104906339116201,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-03,2024-03-31T00:00:00+08:00,2024-04-10T23:59:59+08:00,2666348.0,-38.92192716714676,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-04,2024-04-30T00:00:00+08:00,2024-05-10T23:59:59+08:00,9361971.0,11.867864547933893,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
