source_id,metric_id,entity,period,period_date,published_at,value,value_unit,change_pct,chain,dimension,source,source_url,knowledge_time_method
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-03,2024-03-30 16:00:00+00:00,2024-04-15 15:59:59+00:00,4.2,percent,4.2,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23385,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-03,2024-03-30 16:00:00+00:00,2024-04-15 15:59:59+00:00,41.4,percent,41.4,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23384,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-03,2024-03-30 16:00:00+00:00,2024-04-15 15:59:59+00:00,-3.5,percent,-3.5,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23387,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-03,2024-03-30 16:00:00+00:00,2024-04-17 15:59:59+00:00,1.27,percent,1.27,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23402,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-03,2024-03-30 16:00:00+00:00,2024-04-17 15:59:59+00:00,28.8,percent,28.8,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23406,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-04,2024-04-29 16:00:00+00:00,2024-05-10 15:59:59+00:00,9361971.0,TWD thousand,11.867864547933891,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-04,2024-04-29 16:00:00+00:00,2024-05-10 15:59:59+00:00,2388468.0,TWD thousand,10.400785411462788,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-04,2024-04-29 16:00:00+00:00,2024-05-10 15:59:59+00:00,2676047.0,TWD thousand,-27.857277458032737,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-04,2024-04-29 16:00:00+00:00,2024-05-21 15:59:59+00:00,17.2,percent,17.2,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23558,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-04,2024-04-29 16:00:00+00:00,2024-05-21 15:59:59+00:00,48.0,percent,48.0,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23557,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-04,2024-04-29 16:00:00+00:00,2024-05-21 15:59:59+00:00,13.6,percent,13.6,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23559,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-04,2024-04-29 16:00:00+00:00,2024-05-13 15:59:59+00:00,15.27,percent,15.27,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23501,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-04,2024-04-29 16:00:00+00:00,2024-05-13 15:59:59+00:00,-2.19,percent,-2.19,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23503,page_publication_date
