metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
ccl_export_yoy,2024-05,2024-05-31T00:00:00+08:00,2024-06-18T23:59:59+08:00,16.7,CCL,physical_throughput,2024年5月台灣CCL 出口YoY 16.7%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23666,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-05,2024-05-31T00:00:00+08:00,2024-06-18T23:59:59+08:00,77.2,CCL,market_tightness,2024年5月台灣CCL 進口YoY 77.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23665,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-05,2024-05-31T00:00:00+08:00,2024-06-18T23:59:59+08:00,12.5,CCL,physical_throughput,2024年5月台灣上市櫃PCB原物料營收YoY 12.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23667,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-05,2024-05-31T00:00:00+08:00,2024-06-11T23:59:59+08:00,9.67,Networking,physical_throughput,2024年5月 PCB上市櫃營收 YoY 9.67%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23639,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-05,2024-05-31T00:00:00+08:00,2024-06-11T23:59:59+08:00,8.52,Networking,physical_throughput,2024年5月台灣硬板出口YoY8.52%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23628,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-06,2024-06-30T00:00:00+08:00,2024-07-19T23:59:59+08:00,34.4,CCL,physical_throughput,2024年6月台灣CCL 出口YoY 34.4%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25804,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-06,2024-06-30T00:00:00+08:00,2024-07-19T23:59:59+08:00,66.3,CCL,market_tightness,2024年6月台灣CCL 進口YoY 66.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25803,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-06,2024-06-30T00:00:00+08:00,2024-07-19T23:59:59+08:00,17.7,CCL,physical_throughput,2024年6月台灣上市櫃PCB原物料營收YoY 17.7%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25805,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-06,2024-06-30T00:00:00+08:00,2024-07-15T23:59:59+08:00,11.36,Networking,physical_throughput,2024年6月 PCB上市櫃營收 YoY 11.36%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25775,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-06,2024-06-30T00:00:00+08:00,2024-07-15T23:59:59+08:00,-4.29,Networking,physical_throughput,2024年6月台灣硬板出口YoY-4.29%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25777,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-07,2024-07-31T00:00:00+08:00,2024-08-19T23:59:59+08:00,27.2,CCL,physical_throughput,2024年7月台灣CCL 出口YoY 27.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25920,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-07,2024-07-31T00:00:00+08:00,2024-08-19T23:59:59+08:00,36.6,CCL,market_tightness,2024年7月台灣CCL 進口YoY 36.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25919,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-07,2024-07-31T00:00:00+08:00,2024-08-19T23:59:59+08:00,7.0,CCL,physical_throughput,2024年7月台灣上市櫃PCB原物料營收YoY 7.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25921,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-07,2024-07-31T00:00:00+08:00,2024-08-14T23:59:59+08:00,14.62,Networking,physical_throughput,2024年7月 PCB上市櫃營收 YoY 14.62%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25907,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-07,2024-07-31T00:00:00+08:00,2024-08-14T23:59:59+08:00,-3.74,Networking,physical_throughput,2024年7月台灣硬板出口YoY-3.74%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=25908,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-08,2024-08-31T00:00:00+08:00,2024-09-17T23:59:59+08:00,33.0,CCL,physical_throughput,2024年8月台灣CCL 出口YoY 33.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26041,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-08,2024-08-31T00:00:00+08:00,2024-09-17T23:59:59+08:00,34.4,CCL,market_tightness,2024年8月台灣CCL 進口YoY 34.4%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26040,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-08,2024-08-31T00:00:00+08:00,2024-09-17T23:59:59+08:00,3.3,CCL,physical_throughput,2024年8月台灣上市櫃PCB原物料營收YoY 3.3%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26042,TPCA public industry chart,page_publication_date
